Country_Code,Energy_Type_Code,Year,Energy_Consumption,Energy_Intensity_Per_Capita,Energy_Intensity_By_Gdp,Co2_Emission
BMU,3,1980,,0.0,0.0,0.0
BMU,5,1980,0.0,0.0,0.0,0.0
BTN,1,1980,1.721758366854701e-05,0.3318476767777396,0.2511045369039049,
BTN,2,1980,0.0,0.3318476767777396,0.2511045369039049,
BTN,4,1980,3.841757486181e-05,0.3318476767777396,0.2511045369039049,
BTN,3,1980,,0.3318476767777396,0.2511045369039049,0.0
BTN,5,1980,7.938801974e-05,0.3318476767777396,0.2511045369039049,0.0
BOL,1,1980,0.0,13.360047933834624,0.0,
BOL,2,1980,0.013062,13.360047933834624,0.0,
BOL,4,1980,0.0498966845990918,13.360047933834624,0.0,
BOL,3,1980,,13.360047933834624,0.0,0.0
BOL,5,1980,0.01158944766835,13.360047933834624,0.0,0.0
BIH,1,1980,,,,
BIH,2,1980,,,,
BIH,4,1980,,,,
BIH,3,1980,,,,0.0
BIH,5,1980,,,,0.0
BWA,1,1980,0.0086605256270208,16.42656813267494,3.754571861135149,
BWA,2,1980,0.0,16.42656813267494,3.754571861135149,
BWA,4,1980,0.0060882361218963,16.42656813267494,3.754571861135149,
BWA,3,1980,,16.42656813267494,3.754571861135149,0.0
BWA,5,1980,2.2e-41,16.42656813267494,3.754571861135149,0.0
BRA,1,1980,0.2137158885212471,32.1879817418485,2.9854328341263483,
BRA,2,1980,0.056616,32.1879817418485,2.9854328341263483,
BRA,4,1980,2.2569141276321973,32.1879817418485,2.9854328341263483,
BRA,3,1980,,32.1879817418485,2.9854328341263483,0.0
BRA,5,1980,1.3691349240827104,32.1879817418485,2.9854328341263483,0.0
VGB,1,1980,0.0,36.99831783302328,0.0,
VGB,2,1980,0.0,36.99831783302328,0.0,
VGB,4,1980,0.0004244077038626,36.99831783302328,0.0,
VGB,3,1980,,36.99831783302328,0.0,0.0
VGB,5,1980,0.0,36.99831783302328,0.0,0.0
BRN,1,1980,0.0,424.6147237331408,0.0,
BRN,2,1980,0.07284,424.6147237331408,0.0,
BRN,4,1980,0.0094843026373813,424.6147237331408,0.0,
BRN,3,1980,,424.6147237331408,0.0,0.0
BRN,5,1980,0.0,424.6147237331408,0.0,0.0
BGR,1,1980,0.375989869520395,151.03429185265415,21.0648167750796,
BGR,2,1980,0.16992,151.03429185265415,21.0648167750796,
BGR,4,1980,0.6652210088219899,151.03429185265415,21.0648167750796,
BGR,3,1980,0.06394486,151.03429185265415,21.0648167750796,0.0
BGR,5,1980,0.0638903816304523,151.03429185265415,21.0648167750796,0.0
BFA,1,1980,0.0,0.8847195688200705,0.0,
BFA,2,1980,0.0,0.8847195688200705,0.0,
BFA,4,1980,0.0060363000629283,0.8847195688200705,0.0,
BFA,3,1980,,0.8847195688200705,0.0,0.0
BFA,5,1980,0.0,0.8847195688200705,0.0,0.0
