Country_Code,Name,Gppd_Idnr,Capacity_Mw,Latitude,Longitude
ARG,AGUA DEL CAJON (GENERADOR DEL MEM),ARG0000232,192.0,-38.9368,-68.3556
ARG,AGUA DEL TORO,ARG0000210,130.0,-34.5792,-68.9892
ARG,ALICURA,ARG0000230,1050.0,-40.58,-70.7489
ARG,ALMIRANTE BROWN,ARG0000156,25.0,-34.8386,-58.4033
ARG,ALTO VALLE,ARG0000235,97.5,-38.9524,-68.0218
ARG,ALUMINE,ARG0000242,1.904,-39.2145,-70.9157
ARG,ALVAREZ CONDARCO,ARG0000194,50.7,-33.0452,-69.0516
ARG,ARROYITO,ARG0000254,128.0,-39.1009,-68.5982
ARG,ATUCHA I,ARG0000029,370.0,-33.967,-59.2059
ARG,ATUCHA II,ARG0000030,745.0,-33.9674,-59.2045
ARG,BANDERA,ARG0000328,31.0,-23.8219,-64.7847
ARG,BARILOCHE (PUERTO  MORENO),ARG0000266,5.736000000000001,-41.1167,-71.4167
ARG,BENJAMIN REOLIN,ARG0000085,38.4,-32.1883,-64.3233
ARG,BERNARDO  DE IRIGOYEN,ARG0000220,2.096,-26.2545,-53.6469
ARG,C.T. RUFINO,ARG0000310,31.9,-34.2605,-62.7107
ARG,C.T. SAN VICENTE,ARG0000159,27.6,-35.0241,-58.4237
ARG,CAA CATI,ARG0000116,1.415,-27.7534,-57.6205
ARG,CABRA CORRAL,ARG0000275,102.0,-25.2712,-65.3298
ARG,CACHEUTA (NUEVA),ARG0000195,120.0,-33.0291,-69.1109
ARG,CACHI,ARG0000277,1.07,-25.1089,-66.2106
ARG,CAFAYATE,ARG0000278,4.182,-26.0715,-65.9876
ARG,CAPITAL CATAMARCA - PREDIO CHOYA,ARG0000048,5.728,-28.4537,-65.7841
ARG,CAPITAL CATAMARCA - PREDIO EX CARCEL,ARG0000049,7.075,-28.4773,-65.7872
ARG,CAPITAL CATAMARCA - PREDIO RIPIERA,ARG0000050,4.675,-28.4684,-65.7797
ARG,CASA DE PIEDRA,ARG0000183,60.0,-38.2143,-67.1908
ARG,CASSAFFOUSTH,ARG0000086,17.28,-31.3992,-64.2006
ARG,CENTRAL BAHIA BLANCA (PIEDRA BUENA) SA,ARG0000031,620.0,-38.7872,-62.2536
ARG,CENTRAL LOMA DE LA LATA SA,ARG0000259,540.0,-38.5127,-68.6048
ARG,CENTRAL PARQUE INDUSTRIAL LA BANDA,ARG0000319,11.228,-38.062,-67.9463
ARG,CENTRAL T.GENELBA,ARG0000165,673.6,-34.9027,-58.7334
ARG,CENTRAL T.GENELBA PLUS,ARG0000166,164.55,-34.9027,-58.7334
ARG,CENTRAL TERMICA BRIGADIER LOPEZ (ENARSA),ARG0000311,280.0,-31.7112,-60.7811
ARG,CENTRAL TERMICA DE CICLO COMBINADO SALTA,ARG0000274,643.0,-24.7456,-65.0513
ARG,CENTRAL TERMICA GÜEMES SA,ARG0000287,361.0,-24.6894,-65.0425
ARG,CENTRAL TERMICA LA BANDA,ARG0000330,32.0,-27.7528,-64.2655
ARG,CENTRAL TERMICA PIQUIRENDA SA,ARG0000284,30.44,-22.3497,-63.7664
ARG,CENTRAL TERMICA REMEDIOS DE ESCALADA,ARG0000155,25.0,-34.7208,-58.3881
ARG,CENTRAL TERMOELECTRICA GUILLERMO BROWN,ARG0000042,524.0,-34.6268,-58.5438
ARG,CENTRAL TERMOELECTRICA MANUEL BELGRANO,ARG0000043,868.2,-24.6894,-65.0425
ARG,CENTRAL TERMOELECTRICA TIMBUES,ARG0000307,865.1400000000001,-32.5778,-60.791
ARG,CH LOS CARACOLES,ARG0000296,121.4,-31.5192,-68.9814
ARG,CHILECITO,ARG0000185,5.0,-29.1578,-67.5069
ARG,CHIMBERA 1,ARG0000295,2.0,-31.9881,-68.5402
ARG,CIPOLLETTI,ARG0000267,5.78,-38.9121,-67.9427
ARG,COMANDANTE ANDRESITO,ARG0000221,2.372,-25.6669,-54.0419
ARG,COMODORO RIVADAVIA,ARG0000072,141.02,-25.9913,-54.6278
ARG,COMODORO RIVADAVIA - ANTONIO MORAN,ARG0000067,16.56,-45.8467,-67.4964
ARG,CORRIENTES,ARG0000117,1.4,-27.4708,-58.8042
ARG,COSTANERA,ARG0000046,1982.2,-34.626,-58.3393
ARG,CRUZ DE PIEDRA,ARG0000197,17.94,-33.0349,-68.7971
ARG,CRUZ DEL EJE,ARG0000087,5.052,-30.7636,-64.7538
ARG,CT 13 DE JULIO,ARG0000110,26.0,-32.1613,-64.1537
ARG,CT ALEM,ARG0000217,15.0,-43.0907,-65.2298
ARG,CT ALUMINE,ARG0000256,6.3,-38.8706,-70.5753
ARG,CT ARISTOBULO DEL VALLE,ARG0000229,15.0,-27.0922,-54.8625
ARG,CT ARRECIFES,ARG0000003,20.0,-34.0414,-60.1297
