Country_Code,Energy_Type_Code,Year,Energy_Consumption,Energy_Intensity_Per_Capita,Energy_Intensity_By_Gdp,Co2_Emission
 PRY,3.0,1994.0,,64.53031643128094,7.446622105546913,0.0
 PRY,5.0,1994.0,0.260053104,64.53031643128094,7.446622105546913,0.0
 PRY,0.0,1995.0,0.347234544,72.69126535533951,8.038971799258691,2.9
 PRY,1.0,1995.0,0.0,72.69126535533951,8.038971799258691,0.0
 PRY,2.0,1995.0,0.0,72.69126535533951,8.038971799258691,0.0
 PRY,4.0,1995.0,0.046272656,72.69126535533951,8.038971799258691,2.9
 PRY,3.0,1995.0,,72.69126535533951,8.038971799258691,0.0
 PRY,5.0,1995.0,0.300961888,72.69126535533951,8.038971799258691,0.0
 PRY,0.0,1996.0,0.363371242608,74.34492773772209,8.282211042332879,3.3
 PRY,1.0,1996.0,0.0,74.34492773772209,8.282211042332879,0.0
 PRY,2.0,1996.0,0.0,74.34492773772209,8.282211042332879,0.0
 PRY,4.0,1996.0,0.038987962608,74.34492773772209,8.282211042332879,3.3
 PRY,3.0,1996.0,,74.34492773772209,8.282211042332879,0.0
 PRY,5.0,1996.0,0.32438328,74.34492773772209,8.282211042332879,0.0
 PRY,0.0,1997.0,0.4001126775,80.0529556231368,8.748500655952771,2.7
 PRY,1.0,1997.0,0.0,80.0529556231368,8.748500655952771,0.0
 PRY,2.0,1997.0,0.0,80.0529556231368,8.748500655952771,0.0
 PRY,4.0,1997.0,0.0417958945,80.0529556231368,8.748500655952771,2.7
 PRY,3.0,1997.0,,80.0529556231368,8.748500655952771,0.0
 PRY,5.0,1997.0,0.358316783,80.0529556231368,8.748500655952771,0.0
 PRY,0.0,1998.0,0.407530989,79.78538658219522,8.904647522948208,3.0
 PRY,1.0,1998.0,0.0,79.78538658219522,8.904647522948208,0.0
 PRY,2.0,1998.0,0.0,79.78538658219522,8.904647522948208,0.0
 PRY,4.0,1998.0,0.048256431,79.78538658219522,8.904647522948208,3.0
 PRY,3.0,1998.0,,79.78538658219522,8.904647522948208,0.0
 PRY,5.0,1998.0,0.359274558,79.78538658219522,8.904647522948208,0.0
 PRY,0.0,1999.0,0.4264251523,81.7478030231867,9.446536340657808,3.4
 PRY,1.0,1999.0,0.0,81.7478030231867,9.446536340657808,0.0
 PRY,2.0,1999.0,0.0,81.7478030231867,9.446536340657808,0.0
 PRY,4.0,1999.0,0.0574336403,81.7478030231867,9.446536340657808,3.4
 PRY,3.0,1999.0,,81.7478030231867,9.446536340657808,0.0
 PRY,5.0,1999.0,0.368991512,81.7478030231867,9.446536340657808,0.0
 PRY,0.0,2000.0,0.42547082074014,79.92764140745041,9.648673941807816,3.8
 PRY,1.0,2000.0,0.0,79.92764140745041,9.648673941807816,0.0
 PRY,2.0,2000.0,0.0,79.92764140745041,9.648673941807816,0.0
 PRY,4.0,2000.0,0.04684195974014,79.92764140745041,9.648673941807816,3.8
 PRY,3.0,2000.0,,79.92764140745041,9.648673941807816,0.0
 PRY,5.0,2000.0,0.378628861,79.92764140745041,9.648673941807816,0.0
 PRY,0.0,2001.0,0.378359659900284,69.69951954894667,8.652472870102656,3.6
 PRY,1.0,2001.0,0.0,69.69951954894667,8.652472870102656,0.0
 PRY,2.0,2001.0,0.0,69.69951954894667,8.652472870102656,0.0
 PRY,4.0,2001.0,0.048315391900284,69.69951954894667,8.652472870102656,3.6
 PRY,3.0,2001.0,,69.69951954894667,8.652472870102656,0.0
 PRY,5.0,2001.0,0.330044268,69.69951954894667,8.652472870102656,0.0
 PRY,0.0,2002.0,0.3942479933256299,71.26732538297998,9.017751813866935,3.5
 PRY,1.0,2002.0,0.0,71.26732538297998,9.017751813866935,0.0
 PRY,2.0,2002.0,0.0,71.26732538297998,9.017751813866935,0.0
 PRY,4.0,2002.0,0.0512338273256299,71.26732538297998,9.017751813866935,3.5
 PRY,3.0,2002.0,,71.26732538297998,9.017751813866935,0.0
 PRY,5.0,2002.0,0.343014166,71.26732538297998,9.017751813866935,0.0
 PRY,0.0,2003.0,0.417962035331182,74.19909804955495,9.164206255712957,3.6
 PRY,1.0,2003.0,0.0,74.19909804955495,9.164206255712957,0.0
 PRY,2.0,2003.0,0.0,74.19909804955495,9.164206255712957,0.0
 PRY,4.0,2003.0,0.053179570331182,74.19909804955495,9.164206255712957,3.6
 PRY,3.0,2003.0,,74.19909804955495,9.164206255712957,0.0
 PRY,5.0,2003.0,0.364782465,74.19909804955495,9.164206255712957,0.0
 PRY,0.0,2004.0,0.4148953525060659,72.40049009277732,8.742240147877332,3.7
 PRY,1.0,2004.0,0.0,72.40049009277732,8.742240147877332,0.0
 PRY,2.0,2004.0,0.0,72.40049009277732,8.742240147877332,0.0
 PRY,4.0,2004.0,0.0535098205060659,72.40049009277732,8.742240147877332,3.7
 PRY,3.0,2004.0,,72.40049009277732,8.742240147877332,0.0
 PRY,5.0,2004.0,0.361385532,72.40049009277732,8.742240147877332,0.0
 PRY,0.0,2005.0,0.4065011350888975,69.79638658142848,8.386446695953424,3.8
 PRY,1.0,2005.0,4.494545905598139e-06,69.79638658142848,8.386446695953424,0.0
 PRY,2.0,2005.0,0.0,69.79638658142848,8.386446695953424,0.0
 PRY,4.0,2005.0,0.0494187745429919,69.79638658142848,8.386446695953424,3.8
 PRY,3.0,2005.0,,69.79638658142848,8.386446695953424,0.0
 PRY,5.0,2005.0,0.357077866,69.79638658142848,8.386446695953424,0.0
 PRY,0.0,2006.0,0.425621204615561,71.9780296345912,8.378172260016713,3.700419341
 PRY,1.0,2006.0,6.554855610980243e-07,71.9780296345912,8.378172260016713,0.0004193411329923
 PRY,2.0,2006.0,0.0,71.9780296345912,8.378172260016713,0.0
 PRY,4.0,2006.0,0.0534236095699999,71.9780296345912,8.378172260016713,3.7
 PRY,3.0,2006.0,,71.9780296345912,8.378172260016713,0.0
 PRY,5.0,2006.0,0.37219693956,71.9780296345912,8.378172260016713,0.0
 PRY,0.0,2007.0,0.4274388789964646,71.25845912954966,7.981232160963199,3.700061157
 PRY,1.0,2007.0,4.183066464616727e-06,71.25845912954966,7.981232160963199,6.115680285044567e-05
 PRY,2.0,2007.0,0.0,71.25845912954966,7.981232160963199,0.0
 PRY,4.0,2007.0,0.0556500599299999,71.25845912954966,7.981232160963199,3.7
 PRY,3.0,2007.0,,71.25845912954966,7.981232160963199,0.0
 PRY,5.0,2007.0,0.371784636,71.25845912954966,7.981232160963199,0.0
 PRY,0.0,2008.0,0.4408566437710816,72.49381608719874,7.729635059614369,3.752651172
 PRY,1.0,2008.0,2.7099310815398874e-06,72.49381608719874,7.729635059614369,0.0003902801011487
 PRY,2.0,2008.0,0.0,72.49381608719874,7.729635059614369,0.0
 PRY,4.0,2008.0,0.0577252668800001,72.49381608719874,7.729635059614369,3.752260891486847
 PRY,3.0,2008.0,,72.49381608719874,7.729635059614369,0.0
 PRY,5.0,2008.0,0.38312866696,72.49381608719874,7.729635059614369,0.0
 PRY,0.0,2009.0,0.436909764801877,70.88122829959865,7.6804849865937665,3.800252837
 PRY,1.0,2009.0,3.3021876974600274e-08,70.88122829959865,7.6804849865937665,0.0002528365699076
 PRY,2.0,2009.0,0.0,70.88122829959865,7.6804849865937665,0.0
 PRY,4.0,2009.0,0.05956119578,70.88122829959865,7.6804849865937665,3.8
 PRY,3.0,2009.0,,70.88122829959865,7.6804849865937665,0.0
 PRY,5.0,2009.0,0.377348536,70.88122829959865,7.6804849865937665,0.0
 PRY,0.0,2010.0,0.4418347370544894,70.71596074508236,6.991354647342362,4.100003081
 PRY,1.0,2010.0,1.0651444895011554e-06,70.71596074508236,6.991354647342362,3.080941121730205e-06
 PRY,2.0,2010.0,0.0,70.71596074508236,6.991354647342362,0.0
 PRY,4.0,2010.0,0.0676592639099999,70.71596074508236,6.991354647342362,4.1
 PRY,3.0,2010.0,,70.71596074508236,6.991354647342362,0.0
 PRY,5.0,2010.0,0.374174408,70.71596074508236,6.991354647342362,0.0
 PRY,0.0,2011.0,0.4655211020282372,73.49582758837845,7.063399321583849,4.500099378
 PRY,1.0,2011.0,6.647718237389478e-06,73.49582758837845,7.063399321583849,9.93779808704578e-05
 PRY,2.0,2011.0,0.0,73.49582758837845,7.063399321583849,0.0
 PRY,4.0,2011.0,0.0685878103099999,73.49582758837845,7.063399321583849,4.5
 PRY,3.0,2011.0,,73.49582758837845,7.063399321583849,0.0
 PRY,5.0,2011.0,0.396926644,73.49582758837845,7.063399321583849,0.0
 PRY,0.0,2012.0,0.4777677270719734,74.40114974078892,7.300907358277088,4.854154389
 PRY,1.0,2012.0,6.333319735460036e-07,74.40114974078892,7.300907358277088,0.0006202321115484
 PRY,2.0,2012.0,0.0,74.40114974078892,7.300907358277088,0.0
 PRY,4.0,2012.0,0.0729541697399999,74.40114974078892,7.300907358277088,4.853534157219975
 PRY,3.0,2012.0,,74.40114974078892,7.300907358277088,0.0
 PRY,5.0,2012.0,0.404812924,74.40114974078892,7.300907358277088,0.0
 PRY,0.0,2013.0,0.4806363213900321,73.82740214922455,6.782287817499296,5.175485748
 PRY,1.0,2013.0,1.198900032227003e-06,73.82740214922455,6.782287817499296,5.908987313184213e-05
 PRY,2.0,2013.0,0.0,73.82740214922455,6.782287817499296,0.0
 PRY,4.0,2013.0,0.0719373564899999,73.82740214922455,6.782287817499296,5.175426658465467
 PRY,3.0,2013.0,,73.82740214922455,6.782287817499296,0.0
 PRY,5.0,2013.0,0.408697766,73.82740214922455,6.782287817499296,0.0
 PRY,0.0,2014.0,0.4547369572272965,68.90455021384835,6.093766387003744,5.070818482
 PRY,1.0,2014.0,6.25541729640946e-06,68.90455021384835,6.093766387003744,0.0001118573730067
 PRY,2.0,2014.0,0.0,68.90455021384835,6.093766387003744,0.0
 PRY,4.0,2014.0,0.07557177181,68.90455021384835,6.093766387003744,5.070706624896232
 PRY,3.0,2014.0,,68.90455021384835,6.093766387003744,0.0
 PRY,5.0,2014.0,0.37915893,68.90455021384835,6.093766387003744,0.0
 PRY,0.0,2015.0,0.4664371024023694,69.73456959856017,6.071028275444089,5.328025571
 PRY,1.0,2015.0,4.770840236938105e-05,69.73456959856017,6.071028275444089,0.000583630433755
 PRY,2.0,2015.0,0.0,69.73456959856017,6.071028275444089,0.0
