,Code,Fuel
329,IRQ,Oil
330,IRL,Gas
331,IRL,Wind
332,IRL,Hydro
333,IRL,Oil
334,IRL,Coal
335,IRL,Biomass
336,,
337,ISR,Gas
338,ISR,Solar
339,ISR,Wind
340,ISR,Coal
341,ITA,Hydro
342,ITA,Other
343,ITA,Solar
344,ITA,Gas
345,ITA,Oil
346,ITA,Coal
347,ITA,Geothermal
348,ITA,Wind
349,JAM,Gas
350,JAM,Solar
351,JAM,Oil
352,JAM,Hydro
353,JAM,Wind
354,JPN,Solar
355,JPN,Oil
356,JPN,Wind
357,JPN,Hydro
358,JPN,Gas
359,JPN,Nuclear
360,JPN,Waste
361,JPN,Coal
362,JPN,Geothermal
363,,
364,JOR,Solar
365,JOR,Gas
366,JOR,Oil
367,KAZ,Coal
368,KAZ,Gas
369,KAZ,Solar
370,KAZ,Hydro
371,KEN,Solar
372,KEN,Hydro
373,KEN,Oil
374,KEN,Wind
375,KEN,Geothermal
376,,
377,PRK,Hydro
378,PRK,Coal
379,KOR,Hydro
380,KOR,Gas
381,KOR,Solar
382,KOR,Coal
383,KOR,Biomass
384,KOR,Wind
385,KOR,Waste
386,KOR,Nuclear
387,KOR,Oil
388,KOR,Wave and Tidal
389,KWT,Gas
390,KWT,Solar
391,KGZ,Hydro
392,KGZ,Coal
393,KGZ,Oil
394,LAO,Coal
395,LAO,Hydro
396,LVA,Hydro
397,LVA,Gas
398,LBN,Oil
399,LBN,Gas
400,LSO,Hydro
401,LBR,Oil
402,LBR,Hydro
403,LBY,Gas
404,LBY,Oil
405,,
406,LTU,Gas
407,LTU,Hydro
408,LUX,Gas
409,LUX,Hydro
410,,
411,MKD,Coal
412,MKD,Hydro
413,MDG,Solar
414,MDG,Coal
415,MDG,Oil
416,MDG,Hydro
417,MDG,Gas
418,MWI,Gas
419,MWI,Hydro
420,MWI,Biomass
421,MYS,Hydro
422,MYS,Solar
423,MYS,Gas
424,MYS,Coal
425,MYS,Oil
426,MYS,Biomass
427,,
428,MLI,Hydro
429,,
430,,
431,,
432,MRT,Oil
433,MRT,Gas
434,MRT,Solar
435,MRT,Wind
436,MUS,Solar
437,MUS,Coal
438,MUS,Hydro
439,MUS,Biomass
440,MUS,Oil
441,,
442,MEX,Oil
443,MEX,Solar
444,MEX,Hydro
445,MEX,Gas
446,MEX,Biomass
447,MEX,Wind
448,MEX,Coal
449,MEX,Geothermal
450,MEX,Nuclear
451,,
452,,
453,,
454,MNG,Solar
455,MNG,Coal
456,MNG,Wind
457,MNE,Hydro
458,MNE,Coal
459,,
460,MAR,Hydro
461,MAR,Gas
462,MAR,Solar
463,MAR,Wind
464,MAR,Oil
465,MAR,Coal
466,MOZ,Hydro
467,,
468,NAM,Oil
469,NAM,Solar
470,NAM,Hydro
471,NAM,Coal
472,,
473,NPL,Hydro
474,NPL,Solar
475,NLD,Solar
476,NLD,Wind
477,NLD,Nuclear
478,NLD,Gas
479,NLD,Coal
480,,
481,,
482,NZL,Hydro
483,NZL,Wind
484,NZL,Gas
485,NZL,Coal
486,NZL,Geothermal
487,NZL,Oil
488,NIC,Oil
489,NIC,Hydro
490,NIC,Gas
491,NIC,Geothermal
492,NIC,Waste
493,NIC,Solar
494,NER,Coal
495,NER,Oil
496,NER,Solar
497,NGA,Gas
498,NGA,Solar
499,NGA,Hydro
500,,
501,,
502,,
503,NOR,Hydro
504,NOR,Wind
505,NOR,Gas
506,OMN,Gas
507,OMN,Solar
508,PAK,Oil
509,PAK,Solar
510,PAK,Gas
511,PAK,Hydro
512,PAK,Nuclear
513,PAK,Wind
514,PAK,Coal
515,,
516,PSE,Solar
517,PAN,Oil
518,PAN,Coal
519,PAN,Hydro
520,PAN,Gas
521,PAN,Solar
522,PNG,Gas
523,PNG,Oil
524,PNG,Hydro
525,PNG,Geothermal
526,PRY,Hydro
527,PER,Gas
528,PER,Hydro
529,PER,Coal
530,PER,Solar
531,PER,Wind
532,PHL,Hydro
533,PHL,Coal
534,PHL,Solar
